Förkortning,Enkelnamn,Svenskt namn,Engelskt namn,Alt engelskt namn
SCILIFELAB,Science for Life Laboratory,SciLifeLab,
KI,Karolinska,Karolinska institutet,Karolinska Institute,
SU,Stockholm,Stockholms universitet,Stockholm University,
UU,Uppsala,Uppsala universitet,Uppsala University,
SLU,SLU,Sveriges lantbruksuniversitet,Swedish Agricultural University,Swedish University of Agricultural Sciences
LU,Lund,Lunds universitet,Lund University,
KTH,Technology,Kungliga tekniska högskolan,Royal Institute of Technology,
UMU,Umea,Umeå universitet,Umea University,Umeå University
GU,Gothenburg,Göteborg,Göteborgs universitet,Gothenburg University,University of Gothenburg
LIU,Linkoping,Linköpings universitet,Linkoping University,Linköping University
LNU,Linnaeus,Linnéuniversitetet,Linnaeus University,,Linné
SVA,Veterinary,Statens veterinärmedicinska anstalt,National Veterinary Institute,
CTH,Chalmers,Chalmers tekniska högskola,Chalmers Institute of Technology,
KU,Copenhagen,Københavns Universitet,University of Copenhagen,Copenhagen University
DTU,Denmark,Danmarks tekniske universitet,Technical University of Denmark,
AKADEMISKA,Akademiska,,,
HELSINKI,Helsinki,,,
FOI,Försvarets,FOI,Forsvarets forskningsinstitut,
NRM,Riksmuseet,Nordiska,,
SMI,Smittskydds,Folkhälso,,
CHU ULG,Liege,Université de Liège,University of Liége,University of Liege
KAROLINSKA,Karolinska,Karolinska sjukhuset,,
HGO,Gotland,Högskolan Gotland,,
NRM,Nordiska,Nordiska Riksmuséet,,
SMI,Smittskydds,,,
LTH,Lunds,Lunds Tekniska Högskola,,
HKR,Kristianstad,,,
SH,Södertörns,Sodertorn,,
MEDIVIR,Medivir,,,
TATAA,TATAA,TATAA Biocenter,,
LIO,Leibniz,Leibniz-Institut fur Ostseeforschung,,
TU,Trent,Trent University,,
ASTRAZENECA,AstraZeneca, Astra Zeneca
OLINK,Olink
MDH,Mälardalens,Malardalens
BERGIANSKA,Bergianska
MIUN,Mittuniversitetet, Mid Sweden,Mid University
KS,Karolinska Sjukhuset,,,
ORU,Örebro University,Örebro universitet,,
